time,symbol,score,signal,close_price
2025-01-01 00:00:00,BTC,56.8,多,94868.42
2025-01-01 00:00:00,ETH,57.1,多,3408.62
2025-01-01 00:00:00,SOL,66.9,多,198.95
2025-01-01 04:00:00,BTC,37.1,空,93564.04
2025-01-01 04:00:00,ETH,38.1,空,3346.2
2025-01-01 04:00:00,SOL,38.0,空,194.02
2025-01-01 08:00:00,BTC,59.9,多,94401.14
2025-01-01 08:00:00,ETH,58.8,多,3363.7
2025-01-01 08:00:00,SOL,55.3,多,192.54
2025-01-01 12:00:00,BTC,54.1,中性,93553.91
2025-01-01 12:00:00,ETH,59.8,多,3341.14
2025-01-01 12:00:00,SOL,58.1,多,189.47
2025-01-01 16:00:00,BTC,43.7,空,93428.46
2025-01-01 16:00:00,ETH,42.1,空,3337.01
2025-01-01 16:00:00,SOL,39.4,空,189.4
2025-01-01 20:00:00,BTC,45.8,中性,93820.76
2025-01-01 20:00:00,ETH,42.1,空,3347.46
2025-01-01 20:00:00,SOL,41.1,空,190.95
2025-01-02 00:00:00,BTC,44.5,空,94090.49
2025-01-02 00:00:00,ETH,40.2,空,3338.68
2025-01-02 00:00:00,SOL,31.6,空,190.51
2025-01-02 04:00:00,BTC,63.4,多,94786.23
2025-01-02 04:00:00,ETH,61.0,多,3360.4
2025-01-02 04:00:00,SOL,64.6,多,194.36
2025-01-02 08:00:00,BTC,57.4,多,95128.59
2025-01-02 08:00:00,ETH,57.4,多,3389.92
2025-01-02 08:00:00,SOL,64.2,多,196.25
2025-01-02 12:00:00,BTC,59.8,多,95708.07
2025-01-02 12:00:00,ETH,60.4,多,3417.69
2025-01-02 12:00:00,SOL,72.4,多,204.47
2025-01-02 16:00:00,BTC,56.9,多,96150.0
2025-01-02 16:00:00,ETH,59.7,多,3437.93
2025-01-02 16:00:00,SOL,61.5,多,206.8
2025-01-02 20:00:00,BTC,59.4,多,96850.01
2025-01-02 20:00:00,ETH,60.9,多,3480.48
2025-01-02 20:00:00,SOL,59.8,多,208.39
2025-01-03 00:00:00,BTC,59.3,多,97229.74
2025-01-03 00:00:00,ETH,57.4,多,3469.54
