time,symbol,score,signal,close_price
2025-01-01 00:00:00,BTC,36.4,空,94868.42
2025-01-01 00:00:00,ETH,36.9,空,3408.62
2025-01-01 00:00:00,SOL,53.1,中性,198.95
2025-01-01 04:00:00,BTC,53.5,中性,93564.04
2025-01-01 04:00:00,ETH,48.3,中性,3346.2
2025-01-01 04:00:00,SOL,48.9,中性,194.02
2025-01-01 08:00:00,BTC,41.5,空,94401.14
2025-01-01 08:00:00,ETH,39.7,空,3363.7
2025-01-01 08:00:00,SOL,33.8,空,192.54
2025-01-01 12:00:00,BTC,46.8,中性,93553.91
2025-01-01 12:00:00,ETH,44.1,空,3341.14
2025-01-01 12:00:00,SOL,39.9,空,189.47
2025-01-01 16:00:00,BTC,54.3,中性,93428.46
2025-01-01 16:00:00,ETH,50.9,中性,3337.01
2025-01-01 16:00:00,SOL,51.3,中性,189.4
2025-01-01 20:00:00,BTC,54.2,中性,93820.76
2025-01-01 20:00:00,ETH,50.5,中性,3347.46
2025-01-01 20:00:00,SOL,52.9,中性,190.95
2025-01-02 00:00:00,BTC,54.0,中性,94090.49
2025-01-02 00:00:00,ETH,48.4,中性,3338.68
2025-01-02 00:00:00,SOL,44.3,空,190.51
2025-01-02 04:00:00,BTC,47.4,中性,94786.23
2025-01-02 04:00:00,ETH,43.4,空,3360.4
2025-01-02 04:00:00,SOL,49.4,中性,194.36
2025-01-02 08:00:00,BTC,44.2,空,95128.59
2025-01-02 08:00:00,ETH,46.5,中性,3389.92
2025-01-02 08:00:00,SOL,50.1,中性,196.25
2025-01-02 12:00:00,BTC,41.4,空,95708.07
2025-01-02 12:00:00,ETH,42.4,空,3417.69
2025-01-02 12:00:00,SOL,62.3,多,204.47
2025-01-02 16:00:00,BTC,36.5,空,96150.0
2025-01-02 16:00:00,ETH,41.1,空,3437.93
2025-01-02 16:00:00,SOL,44.1,空,206.8
2025-01-02 20:00:00,BTC,40.7,空,96850.01
2025-01-02 20:00:00,ETH,43.1,空,3480.48
2025-01-02 20:00:00,SOL,41.4,空,208.39
2025-01-03 00:00:00,BTC,40.5,空,97229.74
2025-01-03 00:00:00,ETH,37.3,空,3469.54
2025-01-03 00:00:00,SOL,37.2,空,207.45
2025-01-03 04:00:00,BTC,36.4,空,97306.46
2025-01-03 04:00:00,ETH,33.9,空,3453.0
2025-01-03 04:00:00,SOL,38.9,空,206.82
2025-01-03 08:00:00,BTC,41.1,空,96825.82
2025-01-03 08:00:00,ETH,42.8,空,3449.22
2025-01-03 08:00:00,SOL,48.3,中性,207.15
2025-01-03 12:00:00,BTC,47.2,中性,96813.41
2025-01-03 12:00:00,ETH,48.4,中性,3458.38
2025-01-03 12:00:00,SOL,48.5,中性,207.72
2025-01-03 16:00:00,BTC,48.8,中性,96129.97
2025-01-03 16:00:00,ETH,48.1,中性,3430.2
2025-01-03 16:00:00,SOL,59.8,多,209.36
2025-01-03 20:00:00,BTC,49.9,中性,96666.66
2025-01-03 20:00:00,ETH,51.4,中性,3463.83
2025-01-03 20:00:00,SOL,60.6,多,213.4
2025-01-04 00:00:00,BTC,44.3,空,97868.2
2025-01-04 00:00:00,ETH,62.0,多,3584.28
2025-01-04 00:00:00,SOL,55.5,多,217.7
2025-01-04 04:00:00,BTC,47.3,中性,98311.52
2025-01-04 04:00:00,ETH,51.5,中性,3600.57
2025-01-04 04:00:00,SOL,46.1,中性,216.05
2025-01-04 08:00:00,BTC,47.0,中性,97950.01
2025-01-04 08:00:00,ETH,53.2,中性,3602.41
2025-01-04 08:00:00,SOL,55.0,多,217.0
2025-01-04 12:00:00,BTC,47.1,中性,98001.0
2025-01-04 12:00:00,ETH,49.7,中性,3591.47
2025-01-04 12:00:00,SOL,51.0,中性,216.88
2025-01-04 16:00:00,BTC,41.1,空,97906.07
2025-01-04 16:00:00,ETH,45.0,空,3585.01
2025-01-04 16:00:00,SOL,43.3,空,215.72
2025-01-04 20:00:00,BTC,47.2,中性,97888.12
2025-01-04 20:00:00,ETH,58.1,多,3635.52
2025-01-04 20:00:00,SOL,50.1,中性,217.04
2025-01-05 00:00:00,BTC,49.5,中性,97704.6
2025-01-05 00:00:00,ETH,53.1,中性,3622.09
2025-01-05 00:00:00,SOL,40.9,空,214.4
2025-01-05 04:00:00,BTC,48.3,中性,98599.02
2025-01-05 04:00:00,ETH,52.7,中性,3660.47
